ts;te;td;sa;da;sp;dp;pr;flg;ipkt;ibyt
11/01/13 07:51;01/03/13 23:49;4.294.667.638;10.1.1.10;10.1.1.150;54968;9995;UDP;......;76;37736
11/01/13 07:49;01/03/13 23:51;4.294.956.296;10.1.1.15;77.232.128.123;8080;57284;TCP;.A..S.;2;98
11/01/13 07:49;01/03/13 23:51;4.294.956.296;77.232.128.123;10.1.1.15;57284;8080;TCP;.APRS.;4;240
11/01/13 07:46;01/03/13 23:49;4.294.967.266;10.1.1.10;177.21.244.27;21549;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.266;177.21.244.27;10.1.1.10;80;21549;TCP;.A..SF;2;88
01/03/13 23:49;01/03/13 23:49;0.000;10.1.1.10;200.19.73.231;3883;12223;UDP;......;1;75
11/01/13 07:46;01/03/13 23:49;4.294.967.146;10.1.1.10;177.21.244.27;35586;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.146;177.21.244.27;10.1.1.10;80;35586;TCP;.A..SF;3;128
11/01/13 07:46;01/03/13 23:49;4.294.949.564;10.1.1.10;200.19.73.231;41182;5247;UDP;......;2;313
11/01/13 07:46;01/03/13 23:49;4.294.967.268;10.1.1.10;177.21.244.27;35386;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.268;177.21.244.27;10.1.1.10;80;35386;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.252;10.1.1.10;177.126.184.50;44558;443;TCP;.A..SF;3;144
11/01/13 07:49;01/03/13 23:52;4.294.967.252;177.126.184.50;10.1.1.10;443;44558;TCP;.A.RS.;2;88
01/03/13 23:49;01/03/13 23:49;0.000;10.1.1.10;200.19.73.231;16876;12223;UDP;......;1;75
11/01/13 07:46;01/03/13 23:49;4.294.967.266;10.1.1.10;177.21.244.27;43454;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.266;177.21.244.27;10.1.1.10;80;43454;TCP;.A..SF;2;88
11/01/13 07:46;01/03/13 23:49;4.294.967.267;10.1.1.10;177.21.244.27;51665;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.267;177.21.244.27;10.1.1.10;80;51665;TCP;.A..SF;2;88
11/01/13 07:46;01/03/13 23:49;4.294.967.149;10.1.1.10;69.171.239.12;21562;53;UDP;......;1;62
11/01/13 07:46;01/03/13 23:49;4.294.967.149;69.171.239.12;10.1.1.10;53;21562;UDP;......;1;153
11/01/13 07:46;01/03/13 23:49;4.294.967.149;10.1.1.10;69.171.239.11;53509;53;UDP;......;1;68
11/01/13 07:46;01/03/13 23:49;4.294.967.149;69.171.239.11;10.1.1.10;53;53509;UDP;......;1;151
11/01/13 07:46;01/03/13 23:49;4.294.963.870;10.1.1.10;173.252.73.52;60295;80;TCP;.AP.SF;6;1316
11/01/13 07:46;01/03/13 23:49;4.294.963.870;173.252.73.52;10.1.1.10;80;60295;TCP;.AP.SF;5;996
11/01/13 07:46;01/03/13 23:49;4.294.956.594;10.1.1.15;77.248.68.51;8080;52237;TCP;.A..SF;3;144
11/01/13 07:46;01/03/13 23:49;4.294.956.594;77.248.68.51;10.1.1.15;52237;8080;TCP;.AP.SF;5;280
11/01/13 07:46;01/03/13 23:49;4.294.967.267;10.1.1.10;177.21.244.27;36362;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.267;177.21.244.27;10.1.1.10;80;36362;TCP;.A..SF;3;128
11/01/13 07:46;01/03/13 23:49;4.294.958.286;10.1.1.23;200.19.73.188;57181;443;TCP;....S.;3;152
11/01/13 07:46;01/03/13 23:49;4.294.967.267;10.1.1.10;177.21.244.27;14146;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.267;177.21.244.27;10.1.1.10;80;14146;TCP;.A..SF;3;128
11/01/13 07:46;01/03/13 23:49;4.294.967.268;10.1.1.10;177.21.244.27;36529;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.268;177.21.244.27;10.1.1.10;80;36529;TCP;.A..SF;2;88
11/01/13 07:46;01/03/13 23:49;4.294.956.909;10.1.1.15;83.40.114.1;8080;63378;TCP;.A..SF;3;144
11/01/13 07:46;01/03/13 23:49;4.294.956.909;83.40.114.1;10.1.1.15;63378;8080;TCP;.AP.SF;5;280
11/01/13 07:51;01/03/13 23:49;4.294.686.617;10.1.1.10;80.79.117.14;26354;5938;TCP;.AP...;13;787
11/01/13 07:51;01/03/13 23:49;4.294.686.617;80.79.117.14;10.1.1.10;5938;26354;TCP;.AP...;8;544
11/01/13 07:46;01/03/13 23:49;4.294.967.266;10.1.1.10;177.21.244.27;32345;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.266;177.21.244.27;10.1.1.10;80;32345;TCP;.A..SF;2;88
11/01/13 07:46;01/03/13 23:49;4.294.967.267;10.1.1.10;177.21.244.27;31699;80;TCP;.A..SF;4;186
11/01/13 07:46;01/03/13 23:49;4.294.967.267;177.21.244.27;10.1.1.10;80;31699;TCP;.A..SF;2;88
